 Teff  logg FeH  profile       filter     wave_min wave_eff wave_max   c1    e1    c2    e2 
------ ---- --- --------- --------------- -------- -------- -------- ----- ----- ----- -----
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.422   0.4294    0.437 0.758 0.001 0.045 0.002
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.438   0.4456    0.453 0.731 0.001 0.097 0.001
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.454   0.4614    0.469 0.677 0.001 0.146 0.001
5500.0  4.5 0.0 quadratic Kepler/Kepler.K     0.47   0.4775    0.485 0.644 0.001 0.165 0.002
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.486   0.4934    0.501 0.614 0.002  0.17 0.003
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.502   0.5093    0.517 0.613 0.001 0.157 0.002
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.518   0.5254    0.533 0.584 0.002 0.156 0.003
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.534   0.5415    0.549 0.554 0.003 0.184 0.004
5500.0  4.5 0.0 quadratic Kepler/Kepler.K     0.55   0.5576    0.565 0.532 0.004 0.195 0.005
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.566   0.5737    0.581 0.515 0.004   0.2 0.006
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.582   0.5894    0.597 0.498 0.005 0.206 0.006
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.598   0.6055    0.613 0.483 0.005 0.207 0.006
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.614   0.6216    0.629 0.468 0.005 0.206 0.007
5500.0  4.5 0.0 quadratic Kepler/Kepler.K     0.63   0.6377    0.645 0.456 0.005 0.208 0.007
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.646   0.6533    0.661 0.423 0.006 0.223 0.007
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.662   0.6694    0.677  0.43 0.005 0.211 0.007
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.678   0.6855    0.693 0.422 0.006 0.207 0.007
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.694   0.7017    0.709 0.414 0.006 0.205 0.008
5500.0  4.5 0.0 quadratic Kepler/Kepler.K     0.71   0.7173    0.725 0.403 0.006 0.204 0.008
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.726   0.7334    0.741 0.393 0.006 0.204 0.008
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.742   0.7495    0.757 0.383 0.006 0.204 0.008
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.758   0.7656    0.773 0.375 0.006 0.204 0.008
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.774   0.7817    0.789 0.366 0.006 0.204 0.008
5500.0  4.5 0.0 quadratic Kepler/Kepler.K     0.79   0.7974    0.805 0.361 0.006 0.202 0.008
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.806   0.8135    0.821 0.354 0.006 0.201 0.008
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.822   0.8296    0.837 0.345 0.006 0.202 0.008
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.838   0.8457    0.853 0.335 0.006 0.203 0.009
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.854   0.8613    0.869 0.328 0.007 0.204 0.009
5500.0  4.5 0.0 quadratic Kepler/Kepler.K     0.87   0.8774    0.885 0.324 0.007 0.202 0.009
5500.0  4.5 0.0 quadratic Kepler/Kepler.K    0.886   0.8936    0.901  0.31 0.007 0.206 0.009
