# wavelength(micron) (rp/rs)^2 std((rp/rs)^2)
1.25892541e+01 2.70198687e-02 1.34384372e-03
1.25458040e+01 2.72283914e-02 1.34384372e-03
1.25025039e+01 2.71392501e-02 1.34384372e-03
1.24593531e+01 2.72413259e-02 1.34384372e-03
1.24163514e+01 2.72876061e-02 1.34384372e-03
1.23734980e+01 2.68984432e-02 1.34384372e-03
1.23307925e+01 2.71618546e-02 1.34384372e-03
1.22882345e+01 2.70285846e-02 1.34384372e-03
1.22458233e+01 2.71062214e-02 1.34384372e-03
1.22035585e+01 2.70664221e-02 1.34384372e-03
1.21614395e+01 2.71304927e-02 1.34384372e-03
1.21194660e+01 2.72019044e-02 1.34384372e-03
1.20776373e+01 2.69114434e-02 1.34384372e-03
1.20359529e+01 2.71269423e-02 1.34384372e-03
1.19944125e+01 2.71506723e-02 1.34384372e-03
1.19530154e+01 2.73087123e-02 1.34384372e-03
1.19117611e+01 2.70878641e-02 1.34384372e-03
1.18706493e+01 2.68524463e-02 1.34384372e-03
1.18296793e+01 2.70337037e-02 1.34384372e-03
1.17888508e+01 2.71878127e-02 1.34384372e-03
1.17481632e+01 2.72380699e-02 1.34384372e-03
1.17076160e+01 2.69758219e-02 1.34384372e-03
1.16672087e+01 2.69625399e-02 1.34384372e-03
1.16269409e+01 2.69034722e-02 1.34384372e-03
1.15868121e+01 2.70518252e-02 1.34384372e-03
1.15468218e+01 2.69885191e-02 1.34384372e-03
1.15069695e+01 2.67578249e-02 1.34384372e-03
1.14672547e+01 2.71352677e-02 1.34384372e-03
1.14276770e+01 2.66690493e-02 1.34384372e-03
1.13882359e+01 2.67900924e-02 1.34384372e-03
1.13489310e+01 2.67970127e-02 1.34384372e-03
1.13097617e+01 2.69866726e-02 1.34384372e-03
1.12707276e+01 2.69115446e-02 1.34384372e-03
1.12318282e+01 2.68653506e-02 1.34384372e-03
1.11930630e+01 2.70924938e-02 1.34384372e-03
1.11544317e+01 2.69899952e-02 1.34384372e-03
1.11159337e+01 2.68180745e-02 1.34384372e-03
1.10775685e+01 2.68572886e-02 1.34384372e-03
1.10393358e+01 2.70317047e-02 1.34384372e-03
1.10012350e+01 2.70600534e-02 1.34384372e-03
1.09632657e+01 2.67659493e-02 1.34384372e-03
1.09254275e+01 2.67512930e-02 1.34384372e-03
1.08877198e+01 2.71163352e-02 1.34384372e-03
1.08501423e+01 2.66957947e-02 1.34384372e-03
1.08126945e+01 2.65338408e-02 1.34384372e-03
1.07753760e+01 2.69479457e-02 1.34384372e-03
1.07381862e+01 2.67755179e-02 1.34384372e-03
1.07011248e+01 2.67145933e-02 1.34384372e-03
1.06641913e+01 2.67579669e-02 1.34384372e-03
1.06273853e+01 2.70826711e-02 1.34384372e-03
1.05907063e+01 2.69945118e-02 1.34384372e-03
1.05541539e+01 2.69175911e-02 1.34384372e-03
1.05177277e+01 2.66828479e-02 1.34384372e-03
1.04814272e+01 2.68826206e-02 1.34384372e-03
1.04452519e+01 2.65208005e-02 1.34384372e-03
1.04092015e+01 2.69792934e-02 1.34384372e-03
1.03732756e+01 2.66871471e-02 1.34384372e-03
1.03374736e+01 2.65572361e-02 1.34384372e-03
1.03017952e+01 2.70363002e-02 1.34384372e-03
1.02662400e+01 2.67539607e-02 1.34384372e-03
1.02308074e+01 2.69013399e-02 1.34384372e-03
1.01954972e+01 2.65362300e-02 1.34384372e-03
1.01603088e+01 2.65841407e-02 1.34384372e-03
1.01252418e+01 2.67498220e-02 1.34384372e-03
1.00902959e+01 2.67429729e-02 1.34384372e-03
1.00554706e+01 2.67377893e-02 1.34384372e-03
1.00207655e+01 2.68190723e-02 1.34384372e-03
9.98618022e+00 2.69287341e-02 1.34384372e-03
9.95171426e+00 2.68446750e-02 1.34384372e-03
9.91736726e+00 2.67953842e-02 1.34384372e-03
9.88313880e+00 2.69134090e-02 1.34384372e-03
9.84902848e+00 2.67647424e-02 1.34384372e-03
9.81503589e+00 2.67889070e-02 1.34384372e-03
9.78116061e+00 2.69873395e-02 1.34384372e-03
9.74740226e+00 2.69261451e-02 1.34384372e-03
9.71376041e+00 2.70937383e-02 1.34384372e-03
9.68023467e+00 2.69418404e-02 1.34384372e-03
9.64682465e+00 2.71354862e-02 1.34384372e-03
9.61352993e+00 2.71566890e-02 1.34384372e-03
9.58035013e+00 2.68932836e-02 1.34384372e-03
9.54728484e+00 2.66677694e-02 1.34384372e-03
9.51433367e+00 2.70371521e-02 1.34384372e-03
9.48149623e+00 2.70851355e-02 1.34384372e-03
9.44877213e+00 2.72593806e-02 1.34384372e-03
9.41616096e+00 2.73024332e-02 1.34384372e-03
9.38366235e+00 2.69607170e-02 1.34384372e-03
9.35127591e+00 2.71321154e-02 1.34384372e-03
9.31900124e+00 2.72350048e-02 1.34384372e-03
9.28683796e+00 2.72092594e-02 1.34384372e-03
9.25478569e+00 2.72721521e-02 1.34384372e-03
9.22284404e+00 2.71512850e-02 1.34384372e-03
9.19101264e+00 2.73667342e-02 1.34384372e-03
9.15929110e+00 2.70604552e-02 1.34384372e-03
9.12767904e+00 2.71503802e-02 1.34384372e-03
9.09617608e+00 2.73016753e-02 1.34384372e-03
9.06478186e+00 2.72517521e-02 1.34384372e-03
9.03349598e+00 2.72555313e-02 1.34384372e-03
9.00231809e+00 2.72985817e-02 1.34384372e-03
8.97124780e+00 2.73910105e-02 1.34384372e-03
8.94028475e+00 2.75135097e-02 1.34384372e-03
8.90942856e+00 2.73660894e-02 1.34384372e-03
