CENTRALWAVELNG,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2
0.53146,2.12656,0.01996,-0.01996
0.53912,2.13927,0.01881,-0.01881
0.54548,2.12592,0.01552,-0.01552
0.55042,2.1469,0.01929,-0.01929
0.55376,2.14036,0.0175,-0.0175
0.55717,2.10268,0.01617,-0.01617
0.56066,2.12604,0.01523,-0.01523
0.5642,2.12533,0.01461,-0.01461
0.5678,2.17132,0.01379,-0.01379
0.57147,2.13586,0.01297,-0.01297
0.57522,2.13257,0.0123,-0.0123
0.57904,2.11513,0.01163,-0.01163
0.58292,2.14615,0.01128,-0.01128
0.58688,2.14467,0.01098,-0.01098
0.59093,2.19217,0.01076,-0.01076
0.59506,2.15242,0.00832,-0.00832
0.59926,2.15746,0.00992,-0.00992
0.60355,2.14019,0.00982,-0.00982
0.60792,2.12355,0.0094,-0.0094
0.61239,2.11343,0.00919,-0.00919
0.61696,2.11313,0.00917,-0.00917
0.62162,2.11546,0.00885,-0.00885
0.62639,2.11992,0.00858,-0.00858
0.63125,2.11963,0.00834,-0.00834
0.63622,2.10663,0.00811,-0.00811
0.6413,2.08758,0.0079,-0.0079
0.64649,2.09688,0.00768,-0.00768
0.6518,2.08809,0.00746,-0.00746
0.65722,2.10118,0.00726,-0.00726
0.66278,2.10523,0.00721,-0.00721
0.66847,2.08634,0.00666,-0.00666
0.67429,2.09834,0.00692,-0.00692
0.68025,2.0914,0.00698,-0.00698
0.68634,2.10825,0.00604,-0.00604
0.69258,2.10344,0.00708,-0.00708
0.69899,2.09383,0.00683,-0.00683
0.70554,2.12571,0.00695,-0.00695
0.71225,2.09328,0.00663,-0.00663
0.71914,2.09234,0.00628,-0.00628
0.7262,2.09857,0.00666,-0.00666
0.74086,2.07986,0.01175,-0.01175
0.7643,2.09195,0.00939,-0.00939
0.78965,2.09134,0.00782,-0.00782
0.81709,2.09142,0.00848,-0.00848
0.84681,2.0724,0.01027,-0.01027
0.87899,2.06975,0.00578,-0.00578
0.91383,2.08194,0.00552,-0.00552
0.95149,2.10978,0.01136,-0.01136
0.99207,2.07794,0.00492,-0.00492
1.03564,2.08257,0.00906,-0.00906
1.08217,2.08994,0.01265,-0.01265
1.13153,2.10913,0.00898,-0.00898
1.18353,2.10665,0.00442,-0.00442
1.23787,2.10466,0.00454,-0.00454
1.29416,2.11523,0.0073,-0.0073
1.35202,2.1316,0.01323,-0.01323
1.41101,2.13959,0.00781,-0.00781
1.47073,2.13877,0.00858,-0.00858
1.5208,2.11872,0.0076,-0.0076
1.56091,2.09557,0.0081,-0.0081
1.60098,2.10678,0.00664,-0.00664
1.64094,2.05848,0.00597,-0.00597
1.68073,2.07555,0.00651,-0.00651
1.72029,2.09135,0.00796,-0.00796
1.75957,2.11134,0.00754,-0.00754
1.79855,2.11842,0.00591,-0.00591
1.8372,2.13093,0.00507,-0.00507
1.87549,2.13709,0.00485,-0.00485
1.9134,2.15521,0.00398,-0.00398
1.95093,2.13533,0.0046,-0.0046
1.98806,2.1163,0.00473,-0.00473
2.02479,2.08777,0.00464,-0.00464
2.06111,2.11632,0.00481,-0.00481
2.09703,2.08809,0.00402,-0.00402
2.13255,2.09581,0.0041,-0.0041
2.16766,2.09067,0.0059,-0.0059
2.20238,2.07832,0.00514,-0.00514
2.23671,2.07961,0.00482,-0.00482
2.27065,2.07996,0.00514,-0.00514
2.30422,2.08642,0.00505,-0.00505
2.3374,2.1024,0.00486,-0.00486
2.37023,2.12205,0.00497,-0.00497
2.40269,2.11108,0.00512,-0.00512
2.4348,2.12569,0.00505,-0.00505
2.46656,2.13221,0.00512,-0.00512
2.49799,2.14845,0.00546,-0.00546
2.52909,2.14351,0.00579,-0.00579
2.55987,2.17224,0.00588,-0.00588
2.59033,2.16322,0.00587,-0.00587
2.62048,2.16538,0.00579,-0.00579
2.65033,2.18985,0.00583,-0.00583
2.67989,2.18054,0.00591,-0.00591
2.70916,2.19941,0.00602,-0.00602
2.73815,2.18402,0.00627,-0.00627
2.76686,2.18189,0.00631,-0.00631
2.7953,2.18637,0.00658,-0.00658
2.82349,2.2111,0.00669,-0.00669
2.85141,2.19692,0.00684,-0.00684
2.87909,2.19055,0.00702,-0.00702
