# wavelength(micron) (rp/rs)^2 std((rp/rs)^2)
1.25892541e+01 7.96534623e-04 6.95475889e-05
1.25458040e+01 8.13018087e-04 6.95475889e-05
1.25025039e+01 7.07419539e-04 6.95475889e-05
1.24593531e+01 7.41064507e-04 6.95475889e-05
1.24163514e+01 7.64769938e-04 6.95475889e-05
1.23734980e+01 7.09553005e-04 6.95475889e-05
1.23307925e+01 7.31174630e-04 6.95475889e-05
1.22882345e+01 7.13150316e-04 6.95475889e-05
1.22458233e+01 7.66225044e-04 6.95475889e-05
1.22035585e+01 7.51593751e-04 6.95475889e-05
1.21614395e+01 7.32447350e-04 6.95475889e-05
1.21194660e+01 7.43307005e-04 6.95475889e-05
1.20776373e+01 7.34062723e-04 6.95475889e-05
1.20359529e+01 6.91956797e-04 6.95475889e-05
1.19944125e+01 7.28839582e-04 6.95475889e-05
1.19530154e+01 7.98710677e-04 6.95475889e-05
1.19117611e+01 7.15044465e-04 6.95475889e-05
1.18706493e+01 6.67213656e-04 6.95475889e-05
1.18296793e+01 7.42432162e-04 6.95475889e-05
1.17888508e+01 6.72566297e-04 6.95475889e-05
1.17481632e+01 7.57272834e-04 6.95475889e-05
1.17076160e+01 7.06879511e-04 6.95475889e-05
1.16672087e+01 7.54927729e-04 6.95475889e-05
1.16269409e+01 6.98836265e-04 6.95475889e-05
1.15868121e+01 7.00643409e-04 6.95475889e-05
1.15468218e+01 7.05671513e-04 6.95475889e-05
1.15069695e+01 7.70912711e-04 6.95475889e-05
1.14672547e+01 7.64400731e-04 6.95475889e-05
1.14276770e+01 6.98521375e-04 6.95475889e-05
1.13882359e+01 7.22469793e-04 6.95475889e-05
1.13489310e+01 7.87683886e-04 6.95475889e-05
1.13097617e+01 7.16006410e-04 6.95475889e-05
1.12707276e+01 6.96648524e-04 6.95475889e-05
1.12318282e+01 6.95369418e-04 6.95475889e-05
1.11930630e+01 7.52995670e-04 6.95475889e-05
1.11544317e+01 7.30402815e-04 6.95475889e-05
1.11159337e+01 7.24747295e-04 6.95475889e-05
1.10775685e+01 7.42084132e-04 6.95475889e-05
1.10393358e+01 6.69662925e-04 6.95475889e-05
1.10012350e+01 7.40576775e-04 6.95475889e-05
1.09632657e+01 7.67829029e-04 6.95475889e-05
1.09254275e+01 6.85626518e-04 6.95475889e-05
1.08877198e+01 7.22746171e-04 6.95475889e-05
1.08501423e+01 6.61425586e-04 6.95475889e-05
1.08126945e+01 7.14511372e-04 6.95475889e-05
1.07753760e+01 7.24231625e-04 6.95475889e-05
1.07381862e+01 6.86001912e-04 6.95475889e-05
1.07011248e+01 7.35846967e-04 6.95475889e-05
1.06641913e+01 6.96802541e-04 6.95475889e-05
1.06273853e+01 7.80236804e-04 6.95475889e-05
1.05907063e+01 7.33047208e-04 6.95475889e-05
1.05541539e+01 7.14071801e-04 6.95475889e-05
1.05177277e+01 7.37229179e-04 6.95475889e-05
1.04814272e+01 6.76465693e-04 6.95475889e-05
1.04452519e+01 7.14788488e-04 6.95475889e-05
1.04092015e+01 7.38734281e-04 6.95475889e-05
1.03732756e+01 7.00063379e-04 6.95475889e-05
1.03374736e+01 6.62441467e-04 6.95475889e-05
1.03017952e+01 7.63363038e-04 6.95475889e-05
1.02662400e+01 7.11182841e-04 6.95475889e-05
1.02308074e+01 7.26453005e-04 6.95475889e-05
1.01954972e+01 6.82515805e-04 6.95475889e-05
1.01603088e+01 7.23227798e-04 6.95475889e-05
1.01252418e+01 7.43705412e-04 6.95475889e-05
1.00902959e+01 7.35049542e-04 6.95475889e-05
1.00554706e+01 6.88935789e-04 6.95475889e-05
1.00207655e+01 7.60754798e-04 6.95475889e-05
9.98618022e+00 7.77306647e-04 6.95475889e-05
9.95171426e+00 7.89256410e-04 6.95475889e-05
9.91736726e+00 7.34395116e-04 6.95475889e-05
9.88313880e+00 6.64818689e-04 6.95475889e-05
9.84902848e+00 7.14656906e-04 6.95475889e-05
9.81503589e+00 6.92089858e-04 6.95475889e-05
