# wavelength(micron) (rp/rs)^2 std((rp/rs)^2)
1.25892541e+01 1.23831407e-04 3.02280424e-06
1.25458040e+01 1.23830369e-04 3.02280424e-06
1.25025039e+01 1.24083342e-04 3.02280424e-06
1.24593531e+01 1.24255938e-04 3.02280424e-06
1.24163514e+01 1.24533392e-04 3.02280424e-06
1.23734980e+01 1.23404713e-04 3.02280424e-06
1.23307925e+01 1.23988811e-04 3.02280424e-06
1.22882345e+01 1.23667500e-04 3.02280424e-06
1.22458233e+01 1.23655031e-04 3.02280424e-06
1.22035585e+01 1.23578085e-04 3.02280424e-06
1.21614395e+01 1.23822853e-04 3.02280424e-06
1.21194660e+01 1.23842274e-04 3.02280424e-06
1.20776373e+01 1.23504521e-04 3.02280424e-06
1.20359529e+01 1.23459325e-04 3.02280424e-06
1.19944125e+01 1.23449604e-04 3.02280424e-06
1.19530154e+01 1.23892253e-04 3.02280424e-06
1.19117611e+01 1.23940548e-04 3.02280424e-06
1.18706493e+01 1.23260471e-04 3.02280424e-06
1.18296793e+01 1.23587453e-04 3.02280424e-06
1.17888508e+01 1.23790553e-04 3.02280424e-06
1.17481632e+01 1.24542075e-04 3.02280424e-06
1.17076160e+01 1.23738264e-04 3.02280424e-06
1.16672087e+01 1.23244735e-04 3.02280424e-06
1.16269409e+01 1.23445223e-04 3.02280424e-06
1.15868121e+01 1.23458895e-04 3.02280424e-06
1.15468218e+01 1.23838959e-04 3.02280424e-06
1.15069695e+01 1.22976988e-04 3.02280424e-06
1.14672547e+01 1.23294745e-04 3.02280424e-06
1.14276770e+01 1.22617584e-04 3.02280424e-06
1.13882359e+01 1.23015505e-04 3.02280424e-06
1.13489310e+01 1.22981448e-04 3.02280424e-06
1.13097617e+01 1.23418963e-04 3.02280424e-06
1.12707276e+01 1.23090232e-04 3.02280424e-06
1.12318282e+01 1.23104353e-04 3.02280424e-06
1.11930630e+01 1.23545066e-04 3.02280424e-06
1.11544317e+01 1.23323081e-04 3.02280424e-06
1.11159337e+01 1.22997671e-04 3.02280424e-06
1.10775685e+01 1.22890294e-04 3.02280424e-06
1.10393358e+01 1.23663389e-04 3.02280424e-06
1.10012350e+01 1.23741338e-04 3.02280424e-06
1.09632657e+01 1.22914982e-04 3.02280424e-06
1.09254275e+01 1.22867866e-04 3.02280424e-06
1.08877198e+01 1.23400440e-04 3.02280424e-06
1.08501423e+01 1.22382983e-04 3.02280424e-06
1.08126945e+01 1.21955352e-04 3.02280424e-06
