# wavelength(micron) (Rp/Rs)^2 std((Rp/Rs)^2)
4.98786538e+00 1.12016885e-04 2.25020036e-06
4.93848057e+00 1.11739089e-04 2.25020036e-06
4.88958472e+00 1.11711879e-04 2.25020036e-06
4.84117299e+00 1.11524059e-04 2.25020036e-06
4.79324059e+00 1.11538974e-04 2.25020036e-06
4.74578276e+00 1.11388520e-04 2.25020036e-06
4.69879481e+00 1.11336020e-04 2.25020036e-06
4.65227209e+00 1.11399786e-04 2.25020036e-06
4.60620999e+00 1.10816959e-04 2.25020036e-06
4.56060395e+00 1.10615807e-04 2.25020036e-06
4.51544946e+00 1.10627458e-04 2.25020036e-06
4.47074204e+00 1.10706754e-04 2.25020036e-06
4.42647726e+00 1.10711780e-04 2.25020036e-06
4.38265076e+00 1.10842837e-04 2.25020036e-06
4.33925817e+00 1.10585899e-04 2.25020036e-06
4.29629522e+00 1.10834053e-04 2.25020036e-06
4.25375765e+00 1.10577343e-04 2.25020036e-06
4.21164123e+00 1.10494032e-04 2.25020036e-06
4.16994181e+00 1.10417021e-04 2.25020036e-06
4.12865526e+00 1.09877707e-04 2.25020036e-06
4.08777749e+00 1.09731460e-04 2.25020036e-06
4.04730444e+00 1.09223739e-04 2.25020036e-06
4.00723212e+00 1.08924936e-04 2.25020036e-06
3.96755656e+00 1.08754885e-04 2.25020036e-06
3.92827382e+00 1.08520701e-04 2.25020036e-06
3.88938002e+00 1.08503180e-04 2.25020036e-06
3.85087130e+00 1.08668727e-04 2.25020036e-06
3.81274387e+00 1.08792339e-04 2.25020036e-06
3.77499393e+00 1.09002750e-04 2.25020036e-06
3.73761775e+00 1.09130251e-04 2.25020036e-06
3.70061163e+00 1.09347805e-04 2.25020036e-06
3.66397191e+00 1.09742934e-04 2.25020036e-06
3.62769496e+00 1.09979948e-04 2.25020036e-06
3.59177719e+00 1.09937559e-04 2.25020036e-06
3.55621504e+00 1.10102186e-04 2.25020036e-06
3.52100499e+00 1.10373011e-04 2.25020036e-06
3.48614356e+00 1.10669451e-04 2.25020036e-06
3.45162728e+00 1.10624536e-04 2.25020036e-06
3.41745276e+00 1.11025413e-04 2.25020036e-06
3.38361659e+00 1.10773935e-04 2.25020036e-06
3.35011544e+00 1.11322216e-04 2.25020036e-06
3.31694598e+00 1.11437900e-04 2.25020036e-06
3.28410493e+00 1.11370484e-04 2.25020036e-06
3.25158904e+00 1.11507775e-04 2.25020036e-06
3.21939509e+00 1.11673793e-04 2.25020036e-06
3.18751989e+00 1.12500327e-04 2.25020036e-06
3.15596028e+00 1.12229935e-04 2.25020036e-06
3.12471315e+00 1.12446511e-04 2.25020036e-06
3.09377540e+00 1.12686419e-04 2.25020036e-06
3.06314396e+00 1.13007811e-04 2.25020036e-06
3.03281580e+00 1.13564529e-04 2.25020036e-06
3.00278792e+00 1.13385344e-04 2.25020036e-06
2.97305735e+00 1.13398896e-04 2.25020036e-06
2.94362114e+00 1.13560545e-04 2.25020036e-06
2.91447637e+00 1.13653191e-04 2.25020036e-06
2.88562017e+00 1.13197430e-04 2.25020036e-06
2.85704967e+00 1.13446466e-04 2.25020036e-06
2.82876205e+00 1.13805505e-04 2.25020036e-06
2.80075451e+00 1.13327897e-04 2.25020036e-06
2.77302427e+00 1.13586159e-04 2.25020036e-06
2.74556858e+00 1.13482644e-04 2.25020036e-06
2.71838473e+00 1.13380921e-04 2.25020036e-06
2.69147003e+00 1.13222366e-04 2.25020036e-06
2.66482181e+00 1.12554741e-04 2.25020036e-06
2.63843744e+00 1.12843306e-04 2.25020036e-06
2.61231430e+00 1.12688907e-04 2.25020036e-06
2.58644980e+00 1.13018352e-04 2.25020036e-06
2.56084139e+00 1.12808033e-04 2.25020036e-06
2.53548652e+00 1.12803280e-04 2.25020036e-06
2.51038269e+00 1.12648308e-04 2.25020036e-06
2.48552742e+00 1.12140203e-04 2.25020036e-06
2.46091824e+00 1.11461974e-04 2.25020036e-06
2.43655271e+00 1.11087558e-04 2.25020036e-06
2.41242843e+00 1.10571614e-04 2.25020036e-06
2.38854300e+00 1.10135998e-04 2.25020036e-06
2.36489405e+00 1.09881819e-04 2.25020036e-06
2.34147926e+00 1.09538243e-04 2.25020036e-06
2.31829630e+00 1.09358217e-04 2.25020036e-06
2.29534287e+00 1.09326297e-04 2.25020036e-06
2.27261670e+00 1.09230616e-04 2.25020036e-06
2.25011555e+00 1.09127150e-04 2.25020036e-06
2.22783718e+00 1.09116185e-04 2.25020036e-06
2.20577938e+00 1.08998281e-04 2.25020036e-06
2.18393998e+00 1.08964532e-04 2.25020036e-06
2.16231681e+00 1.09125868e-04 2.25020036e-06
2.14090774e+00 1.09330405e-04 2.25020036e-06
2.11971063e+00 1.09537311e-04 2.25020036e-06
2.09872340e+00 1.09832907e-04 2.25020036e-06
2.07794396e+00 1.10191270e-04 2.25020036e-06
2.05737025e+00 1.10683048e-04 2.25020036e-06
2.03700025e+00 1.10990887e-04 2.25020036e-06
2.01683193e+00 1.11243403e-04 2.25020036e-06
1.99686330e+00 1.11297888e-04 2.25020036e-06
1.97709238e+00 1.11444517e-04 2.25020036e-06
1.95751720e+00 1.11499444e-04 2.25020036e-06
1.93813585e+00 1.11274417e-04 2.25020036e-06
1.91894638e+00 1.11107985e-04 2.25020036e-06
1.89994691e+00 1.11000646e-04 2.25020036e-06
1.88113556e+00 1.11716334e-04 2.25020036e-06
1.86251045e+00 1.12095393e-04 2.25020036e-06
1.84406975e+00 1.11555075e-04 2.25020036e-06
1.82581164e+00 1.11209986e-04 2.25020036e-06
1.80773430e+00 1.11122830e-04 2.25020036e-06
1.78983594e+00 1.10842817e-04 2.25020036e-06
1.77211479e+00 1.10272215e-04 2.25020036e-06
1.75456910e+00 1.09684100e-04 2.25020036e-06
1.73719713e+00 1.09259508e-04 2.25020036e-06
1.71999715e+00 1.08986301e-04 2.25020036e-06
1.70296748e+00 1.08085392e-04 2.25020036e-06
1.68610642e+00 1.07733077e-04 2.25020036e-06
1.66941229e+00 1.07978315e-04 2.25020036e-06
1.65288346e+00 1.07890814e-04 2.25020036e-06
1.63651828e+00 1.07964225e-04 2.25020036e-06
1.62031512e+00 1.08218330e-04 2.25020036e-06
1.60427240e+00 1.08530423e-04 2.25020036e-06
1.58838851e+00 1.08901721e-04 2.25020036e-06
1.57266190e+00 1.09130729e-04 2.25020036e-06
1.55709099e+00 1.09734848e-04 2.25020036e-06
1.54167424e+00 1.10045985e-04 2.25020036e-06
1.52641014e+00 1.10314862e-04 2.25020036e-06
1.51129717e+00 1.10425687e-04 2.25020036e-06
1.49633383e+00 1.11029266e-04 2.25020036e-06
