# wavelength(micron) (rp/rs)^2 std((rp/rs)^2)
5.31460000e-01 2.12656000e-02 1.99600000e-04
5.39120000e-01 2.13927000e-02 1.88100000e-04
5.45480000e-01 2.12592000e-02 1.55200000e-04
5.50420000e-01 2.14690000e-02 1.92900000e-04
5.53760000e-01 2.14036000e-02 1.75000000e-04
5.57170000e-01 2.10268000e-02 1.61700000e-04
5.60660000e-01 2.12604000e-02 1.52300000e-04
5.64200000e-01 2.12533000e-02 1.46100000e-04
5.67800000e-01 2.17132000e-02 1.37900000e-04
5.71470000e-01 2.13586000e-02 1.29700000e-04
5.75220000e-01 2.13257000e-02 1.23000000e-04
5.79040000e-01 2.11513000e-02 1.16300000e-04
5.82920000e-01 2.14615000e-02 1.12800000e-04
5.86880000e-01 2.14467000e-02 1.09800000e-04
5.90930000e-01 2.19217000e-02 1.07600000e-04
5.95060000e-01 2.15242000e-02 8.32000000e-05
5.99260000e-01 2.15746000e-02 9.92000000e-05
6.03550000e-01 2.14019000e-02 9.82000000e-05
6.07920000e-01 2.12355000e-02 9.40000000e-05
6.12390000e-01 2.11343000e-02 9.19000000e-05
6.16960000e-01 2.11313000e-02 9.17000000e-05
6.21620000e-01 2.11546000e-02 8.85000000e-05
6.26390000e-01 2.11992000e-02 8.58000000e-05
6.31250000e-01 2.11963000e-02 8.34000000e-05
6.36220000e-01 2.10663000e-02 8.11000000e-05
6.41300000e-01 2.08758000e-02 7.90000000e-05
6.46490000e-01 2.09688000e-02 7.68000000e-05
6.51800000e-01 2.08809000e-02 7.46000000e-05
6.57220000e-01 2.10118000e-02 7.26000000e-05
6.62780000e-01 2.10523000e-02 7.21000000e-05
6.68470000e-01 2.08634000e-02 6.66000000e-05
6.74290000e-01 2.09834000e-02 6.92000000e-05
6.80250000e-01 2.09140000e-02 6.98000000e-05
6.86340000e-01 2.10825000e-02 6.04000000e-05
6.92580000e-01 2.10344000e-02 7.08000000e-05
6.98990000e-01 2.09383000e-02 6.83000000e-05
7.05540000e-01 2.12571000e-02 6.95000000e-05
7.12250000e-01 2.09328000e-02 6.63000000e-05
7.19140000e-01 2.09234000e-02 6.28000000e-05
7.26200000e-01 2.09857000e-02 6.66000000e-05
7.40860000e-01 2.07986000e-02 1.17500000e-04
7.64300000e-01 2.09195000e-02 9.39000000e-05
7.89650000e-01 2.09134000e-02 7.82000000e-05
8.17090000e-01 2.09142000e-02 8.48000000e-05
8.46810000e-01 2.07240000e-02 1.02700000e-04
8.78990000e-01 2.06975000e-02 5.78000000e-05
9.13830000e-01 2.08194000e-02 5.52000000e-05
9.51490000e-01 2.10978000e-02 1.13600000e-04
9.92070000e-01 2.07794000e-02 4.92000000e-05
1.03564000e+00 2.08257000e-02 9.06000000e-05
1.08217000e+00 2.08994000e-02 1.26500000e-04
1.13153000e+00 2.10913000e-02 8.98000000e-05
1.18353000e+00 2.10665000e-02 4.42000000e-05
1.23787000e+00 2.10466000e-02 4.54000000e-05
1.29416000e+00 2.11523000e-02 7.30000000e-05
1.35202000e+00 2.13160000e-02 1.32300000e-04
1.41101000e+00 2.13959000e-02 7.81000000e-05
1.47073000e+00 2.13877000e-02 8.58000000e-05
1.52080000e+00 2.11872000e-02 7.60000000e-05
1.56091000e+00 2.09557000e-02 8.10000000e-05
1.60098000e+00 2.10678000e-02 6.64000000e-05
