# wavelength(micron) (rp/rs)^2 std((rp/rs)^2)
1.25892541e+01 1.11279561e-02 1.37514902e-04
1.25458040e+01 1.11279094e-02 1.37514902e-04
1.25025039e+01 1.11392703e-02 1.37514902e-04
1.24593531e+01 1.11470147e-02 1.37514902e-04
1.24163514e+01 1.11594530e-02 1.37514902e-04
1.23734980e+01 1.11087674e-02 1.37514902e-04
1.23307925e+01 1.11350263e-02 1.37514902e-04
1.22882345e+01 1.11205890e-02 1.37514902e-04
1.22458233e+01 1.11200284e-02 1.37514902e-04
1.22035585e+01 1.11165680e-02 1.37514902e-04
1.21614395e+01 1.11275717e-02 1.37514902e-04
1.21194660e+01 1.11284444e-02 1.37514902e-04
1.20776373e+01 1.11132588e-02 1.37514902e-04
1.20359529e+01 1.11112252e-02 1.37514902e-04
1.19944125e+01 1.11107877e-02 1.37514902e-04
1.19530154e+01 1.11306897e-02 1.37514902e-04
1.19117611e+01 1.11328589e-02 1.37514902e-04
1.18706493e+01 1.11022732e-02 1.37514902e-04
1.18296793e+01 1.11169894e-02 1.37514902e-04
1.17888508e+01 1.11261203e-02 1.37514902e-04
1.17481632e+01 1.11598421e-02 1.37514902e-04
1.17076160e+01 1.11237702e-02 1.37514902e-04
1.16672087e+01 1.11015645e-02 1.37514902e-04
1.16269409e+01 1.11105906e-02 1.37514902e-04
1.15868121e+01 1.11112058e-02 1.37514902e-04
1.15468218e+01 1.11282954e-02 1.37514902e-04
1.15069695e+01 1.10894990e-02 1.37514902e-04
1.14672547e+01 1.11038167e-02 1.37514902e-04
1.14276770e+01 1.10732824e-02 1.37514902e-04
1.13882359e+01 1.10912355e-02 1.37514902e-04
1.13489310e+01 1.10897001e-02 1.37514902e-04
1.13097617e+01 1.11094087e-02 1.37514902e-04
1.12707276e+01 1.10946037e-02 1.37514902e-04
1.12318282e+01 1.10952401e-02 1.37514902e-04
1.11930630e+01 1.11150828e-02 1.37514902e-04
1.11544317e+01 1.11050926e-02 1.37514902e-04
1.11159337e+01 1.10904315e-02 1.37514902e-04
1.10775685e+01 1.10855895e-02 1.37514902e-04
1.10393358e+01 1.11204042e-02 1.37514902e-04
1.10012350e+01 1.11239084e-02 1.37514902e-04
1.09632657e+01 1.10867029e-02 1.37514902e-04
1.09254275e+01 1.10845778e-02 1.37514902e-04
1.08877198e+01 1.11085751e-02 1.37514902e-04
1.08501423e+01 1.10626842e-02 1.37514902e-04
1.08126945e+01 1.10433397e-02 1.37514902e-04
1.07753760e+01 1.10856354e-02 1.37514902e-04
1.07381862e+01 1.10863623e-02 1.37514902e-04
1.07011248e+01 1.10717344e-02 1.37514902e-04
1.06641913e+01 1.10672716e-02 1.37514902e-04
1.06273853e+01 1.11040757e-02 1.37514902e-04
1.05907063e+01 1.10905336e-02 1.37514902e-04
1.05541539e+01 1.10901686e-02 1.37514902e-04
1.05177277e+01 1.10536702e-02 1.37514902e-04
1.04814272e+01 1.10817000e-02 1.37514902e-04
1.04452519e+01 1.10701503e-02 1.37514902e-04
1.04092015e+01 1.11037068e-02 1.37514902e-04
1.03732756e+01 1.10664428e-02 1.37514902e-04
1.03374736e+01 1.10587577e-02 1.37514902e-04
1.03017952e+01 1.10802607e-02 1.37514902e-04
1.02662400e+01 1.10696406e-02 1.37514902e-04
1.02308074e+01 1.10834036e-02 1.37514902e-04
1.01954972e+01 1.10340950e-02 1.37514902e-04
1.01603088e+01 1.10549362e-02 1.37514902e-04
1.01252418e+01 1.10709207e-02 1.37514902e-04
1.00902959e+01 1.10752601e-02 1.37514902e-04
1.00554706e+01 1.10744978e-02 1.37514902e-04
1.00207655e+01 1.10790398e-02 1.37514902e-04
9.98618022e+00 1.10759769e-02 1.37514902e-04
9.95171426e+00 1.10638776e-02 1.37514902e-04
9.91736726e+00 1.10693802e-02 1.37514902e-04
9.88313880e+00 1.11002073e-02 1.37514902e-04
9.84902848e+00 1.10669285e-02 1.37514902e-04
9.81503589e+00 1.10658309e-02 1.37514902e-04
9.78116061e+00 1.10756420e-02 1.37514902e-04
9.74740226e+00 1.10740450e-02 1.37514902e-04
9.71376041e+00 1.10963925e-02 1.37514902e-04
9.68023467e+00 1.10828512e-02 1.37514902e-04
9.64682465e+00 1.10991563e-02 1.37514902e-04
9.61352993e+00 1.11164668e-02 1.37514902e-04
9.58035013e+00 1.10872037e-02 1.37514902e-04
9.54728484e+00 1.10547241e-02 1.37514902e-04
9.51433367e+00 1.11023971e-02 1.37514902e-04
9.48149623e+00 1.11091519e-02 1.37514902e-04
9.44877213e+00 1.11242872e-02 1.37514902e-04
9.41616096e+00 1.11167253e-02 1.37514902e-04
9.38366235e+00 1.10909877e-02 1.37514902e-04
9.35127591e+00 1.10960231e-02 1.37514902e-04
9.31900124e+00 1.11153848e-02 1.37514902e-04
9.28683796e+00 1.11160040e-02 1.37514902e-04
9.25478569e+00 1.11269183e-02 1.37514902e-04
9.22284404e+00 1.11110095e-02 1.37514902e-04
9.19101264e+00 1.11253442e-02 1.37514902e-04
9.15929110e+00 1.11079726e-02 1.37514902e-04
9.12767904e+00 1.11085043e-02 1.37514902e-04
9.09617608e+00 1.11220123e-02 1.37514902e-04
9.06478186e+00 1.11191968e-02 1.37514902e-04
9.03349598e+00 1.11497754e-02 1.37514902e-04
9.00231809e+00 1.11184398e-02 1.37514902e-04
8.97124780e+00 1.11439179e-02 1.37514902e-04
8.94028475e+00 1.11460920e-02 1.37514902e-04
8.90942856e+00 1.11404464e-02 1.37514902e-04
8.87867887e+00 1.11362861e-02 1.37514902e-04
8.84803530e+00 1.11199107e-02 1.37514902e-04
8.81749750e+00 1.11750158e-02 1.37514902e-04
8.78706510e+00 1.11580698e-02 1.37514902e-04
8.75673773e+00 1.11729397e-02 1.37514902e-04
8.72651503e+00 1.11530538e-02 1.37514902e-04
8.69639664e+00 1.11392772e-02 1.37514902e-04
8.66638219e+00 1.11497219e-02 1.37514902e-04
8.63647134e+00 1.11459372e-02 1.37514902e-04
8.60666373e+00 1.11332922e-02 1.37514902e-04
8.57695899e+00 1.11572486e-02 1.37514902e-04
8.54735677e+00 1.11809603e-02 1.37514902e-04
8.51785672e+00 1.11490884e-02 1.37514902e-04
8.48845848e+00 1.11818944e-02 1.37514902e-04
8.45916171e+00 1.11685502e-02 1.37514902e-04
8.42996605e+00 1.11791154e-02 1.37514902e-04
8.40087116e+00 1.11592794e-02 1.37514902e-04
8.37187669e+00 1.11984952e-02 1.37514902e-04
8.34298228e+00 1.12069599e-02 1.37514902e-04
8.31418760e+00 1.11878469e-02 1.37514902e-04
8.28549231e+00 1.11701296e-02 1.37514902e-04
8.25689604e+00 1.11852213e-02 1.37514902e-04
8.22839848e+00 1.11835136e-02 1.37514902e-04
8.19999927e+00 1.12020366e-02 1.37514902e-04
8.17169808e+00 1.12071084e-02 1.37514902e-04
8.14349456e+00 1.11726878e-02 1.37514902e-04
8.11538839e+00 1.11904846e-02 1.37514902e-04
8.08737922e+00 1.11986818e-02 1.37514902e-04
8.05946672e+00 1.11830211e-02 1.37514902e-04
8.03165056e+00 1.11883968e-02 1.37514902e-04
8.00393040e+00 1.11599947e-02 1.37514902e-04
7.97630591e+00 1.12178116e-02 1.37514902e-04
7.94877676e+00 1.11432772e-02 1.37514902e-04
7.92134263e+00 1.11878503e-02 1.37514902e-04
7.89400319e+00 1.12267451e-02 1.37514902e-04
7.86675810e+00 1.11955920e-02 1.37514902e-04
7.83960704e+00 1.11713583e-02 1.37514902e-04
7.81254969e+00 1.11824930e-02 1.37514902e-04
7.78558573e+00 1.11569145e-02 1.37514902e-04
7.75871483e+00 1.12289985e-02 1.37514902e-04
7.73193667e+00 1.12016660e-02 1.37514902e-04
7.70525093e+00 1.11706479e-02 1.37514902e-04
7.67865730e+00 1.11914443e-02 1.37514902e-04
7.65215545e+00 1.11821594e-02 1.37514902e-04
7.62574506e+00 1.12108897e-02 1.37514902e-04
7.59942583e+00 1.12276627e-02 1.37514902e-04
7.57319744e+00 1.11953873e-02 1.37514902e-04
7.54705957e+00 1.11779028e-02 1.37514902e-04
7.52101191e+00 1.11675804e-02 1.37514902e-04
7.49505415e+00 1.11764914e-02 1.37514902e-04
7.46918598e+00 1.11836947e-02 1.37514902e-04
7.44340709e+00 1.11564799e-02 1.37514902e-04
7.41771717e+00 1.11865145e-02 1.37514902e-04
7.39211592e+00 1.11537469e-02 1.37514902e-04
7.36660303e+00 1.12139796e-02 1.37514902e-04
7.34117819e+00 1.12305596e-02 1.37514902e-04
7.31584110e+00 1.11852321e-02 1.37514902e-04
7.29059146e+00 1.12012682e-02 1.37514902e-04
7.26542897e+00 1.12080895e-02 1.37514902e-04
7.24035332e+00 1.12024562e-02 1.37514902e-04
7.21536422e+00 1.11853713e-02 1.37514902e-04
7.19046136e+00 1.11610965e-02 1.37514902e-04
7.16564445e+00 1.11995086e-02 1.37514902e-04
7.14091319e+00 1.12035045e-02 1.37514902e-04
7.11626729e+00 1.12220775e-02 1.37514902e-04
7.09170646e+00 1.12204468e-02 1.37514902e-04
7.06723039e+00 1.11836942e-02 1.37514902e-04
7.04283879e+00 1.11993953e-02 1.37514902e-04
7.01853138e+00 1.12253875e-02 1.37514902e-04
6.99430787e+00 1.11775470e-02 1.37514902e-04
6.97016796e+00 1.11933694e-02 1.37514902e-04
6.94611136e+00 1.12166582e-02 1.37514902e-04
6.92213779e+00 1.12130704e-02 1.37514902e-04
6.89824697e+00 1.12157831e-02 1.37514902e-04
6.87443860e+00 1.12420232e-02 1.37514902e-04
6.85071240e+00 1.12004694e-02 1.37514902e-04
6.82706809e+00 1.12643123e-02 1.37514902e-04
6.80350538e+00 1.12384614e-02 1.37514902e-04
6.78002400e+00 1.12311747e-02 1.37514902e-04
6.75662366e+00 1.12276398e-02 1.37514902e-04
6.73330408e+00 1.11953484e-02 1.37514902e-04
6.71006499e+00 1.12103898e-02 1.37514902e-04
6.68690611e+00 1.12396075e-02 1.37514902e-04
6.66382715e+00 1.12605630e-02 1.37514902e-04
6.64082785e+00 1.12391865e-02 1.37514902e-04
6.61790793e+00 1.12182440e-02 1.37514902e-04
6.59506711e+00 1.12557824e-02 1.37514902e-04
6.57230512e+00 1.12217163e-02 1.37514902e-04
6.54962170e+00 1.12005056e-02 1.37514902e-04
6.52701656e+00 1.12019668e-02 1.37514902e-04
6.50448944e+00 1.11707255e-02 1.37514902e-04
