# wavelength(micron) (Rp/Rs)^2 std((Rp/Rs)^2)
4.98786538e+00 1.05831247e-02 1.07393810e-04
4.93848057e+00 1.05699831e-02 1.07393810e-04
4.88958472e+00 1.05687288e-02 1.07393810e-04
4.84117299e+00 1.05598230e-02 1.07393810e-04
4.79324059e+00 1.05605340e-02 1.07393810e-04
4.74578276e+00 1.05533220e-02 1.07393810e-04
4.69879481e+00 1.05509244e-02 1.07393810e-04
4.65227209e+00 1.05539273e-02 1.07393810e-04
4.60620999e+00 1.05262607e-02 1.07393810e-04
4.56060395e+00 1.05166849e-02 1.07393810e-04
4.51544946e+00 1.05172762e-02 1.07393810e-04
4.47074204e+00 1.05210963e-02 1.07393810e-04
4.42647726e+00 1.05213554e-02 1.07393810e-04
4.38265076e+00 1.05275634e-02 1.07393810e-04
4.33925817e+00 1.05153363e-02 1.07393810e-04
4.29629522e+00 1.05271090e-02 1.07393810e-04
4.25375765e+00 1.05148955e-02 1.07393810e-04
4.21164123e+00 1.05109700e-02 1.07393810e-04
4.16994181e+00 1.05073336e-02 1.07393810e-04
4.12865526e+00 1.04815897e-02 1.07393810e-04
4.08777749e+00 1.04745968e-02 1.07393810e-04
4.04730444e+00 1.04504022e-02 1.07393810e-04
4.00723212e+00 1.04360877e-02 1.07393810e-04
3.96755656e+00 1.04279615e-02 1.07393810e-04
3.92827382e+00 1.04167380e-02 1.07393810e-04
3.88938002e+00 1.04159114e-02 1.07393810e-04
3.85087130e+00 1.04238191e-02 1.07393810e-04
3.81274387e+00 1.04297890e-02 1.07393810e-04
3.77499393e+00 1.04398166e-02 1.07393810e-04
3.73761775e+00 1.04458768e-02 1.07393810e-04
3.70061163e+00 1.04562878e-02 1.07393810e-04
3.66397191e+00 1.04751429e-02 1.07393810e-04
3.62769496e+00 1.04864699e-02 1.07393810e-04
3.59177719e+00 1.04844445e-02 1.07393810e-04
3.55621504e+00 1.04923189e-02 1.07393810e-04
3.52100499e+00 1.05051935e-02 1.07393810e-04
3.48614356e+00 1.05193164e-02 1.07393810e-04
3.45162728e+00 1.05171423e-02 1.07393810e-04
3.41745276e+00 1.05361740e-02 1.07393810e-04
3.38361659e+00 1.05242274e-02 1.07393810e-04
3.35011544e+00 1.05502228e-02 1.07393810e-04
3.31694598e+00 1.05557217e-02 1.07393810e-04
3.28410493e+00 1.05524976e-02 1.07393810e-04
3.25158904e+00 1.05589794e-02 1.07393810e-04
3.21939509e+00 1.05668682e-02 1.07393810e-04
3.18751989e+00 1.06058241e-02 1.07393810e-04
3.15596028e+00 1.05930716e-02 1.07393810e-04
3.12471315e+00 1.06032710e-02 1.07393810e-04
3.09377540e+00 1.06146224e-02 1.07393810e-04
3.06314396e+00 1.06297097e-02 1.07393810e-04
3.03281580e+00 1.06558466e-02 1.07393810e-04
3.00278792e+00 1.06474712e-02 1.07393810e-04
2.97305735e+00 1.06481145e-02 1.07393810e-04
2.94362114e+00 1.06557056e-02 1.07393810e-04
2.91447637e+00 1.06600739e-02 1.07393810e-04
2.88562017e+00 1.06386718e-02 1.07393810e-04
2.85704967e+00 1.06503811e-02 1.07393810e-04
2.82876205e+00 1.06671907e-02 1.07393810e-04
2.80075451e+00 1.06448315e-02 1.07393810e-04
2.77302427e+00 1.06569365e-02 1.07393810e-04
2.74556858e+00 1.06520569e-02 1.07393810e-04
2.71838473e+00 1.06473238e-02 1.07393810e-04
2.69147003e+00 1.06399039e-02 1.07393810e-04
2.66482181e+00 1.06085067e-02 1.07393810e-04
2.63843744e+00 1.06220841e-02 1.07393810e-04
2.61231430e+00 1.06147941e-02 1.07393810e-04
2.58644980e+00 1.06303165e-02 1.07393810e-04
2.56084139e+00 1.06204055e-02 1.07393810e-04
2.53548652e+00 1.06202261e-02 1.07393810e-04
2.51038269e+00 1.06128765e-02 1.07393810e-04
2.48552742e+00 1.05889021e-02 1.07393810e-04
2.46091824e+00 1.05568806e-02 1.07393810e-04
2.43655271e+00 1.05391477e-02 1.07393810e-04
2.41242843e+00 1.05147172e-02 1.07393810e-04
2.38854300e+00 1.04940077e-02 1.07393810e-04
2.36489405e+00 1.04818857e-02 1.07393810e-04
2.34147926e+00 1.04655183e-02 1.07393810e-04
2.31829630e+00 1.04569527e-02 1.07393810e-04
2.29534287e+00 1.04554186e-02 1.07393810e-04
2.27261670e+00 1.04508548e-02 1.07393810e-04
2.25011555e+00 1.04459092e-02 1.07393810e-04
2.22783718e+00 1.04453599e-02 1.07393810e-04
2.20577938e+00 1.04397065e-02 1.07393810e-04
2.18393998e+00 1.04380604e-02 1.07393810e-04
2.16231681e+00 1.04457729e-02 1.07393810e-04
2.14090774e+00 1.04555252e-02 1.07393810e-04
2.11971063e+00 1.04653707e-02 1.07393810e-04
2.09872340e+00 1.04794522e-02 1.07393810e-04
2.07794396e+00 1.04965179e-02 1.07393810e-04
2.05737025e+00 1.05199130e-02 1.07393810e-04
2.03700025e+00 1.05345532e-02 1.07393810e-04
2.01683193e+00 1.05465303e-02 1.07393810e-04
1.99686330e+00 1.05491316e-02 1.07393810e-04
1.97709238e+00 1.05560839e-02 1.07393810e-04
1.95751720e+00 1.05586916e-02 1.07393810e-04
1.93813585e+00 1.05480608e-02 1.07393810e-04
1.91894638e+00 1.05401328e-02 1.07393810e-04
1.89994691e+00 1.05350511e-02 1.07393810e-04
1.88113556e+00 1.05689237e-02 1.07393810e-04
1.86251045e+00 1.05868422e-02 1.07393810e-04
1.84406975e+00 1.05612930e-02 1.07393810e-04
1.82581164e+00 1.05449916e-02 1.07393810e-04
1.80773430e+00 1.05408552e-02 1.07393810e-04
1.78983594e+00 1.05275778e-02 1.07393810e-04
1.77211479e+00 1.05004638e-02 1.07393810e-04
1.75456910e+00 1.04724394e-02 1.07393810e-04
1.73719713e+00 1.04521910e-02 1.07393810e-04
1.71999715e+00 1.04391090e-02 1.07393810e-04
1.70296748e+00 1.03959180e-02 1.07393810e-04
1.68610642e+00 1.03789860e-02 1.07393810e-04
1.66941229e+00 1.03907840e-02 1.07393810e-04
1.65288346e+00 1.03865404e-02 1.07393810e-04
1.63651828e+00 1.03900455e-02 1.07393810e-04
1.62031512e+00 1.04022297e-02 1.07393810e-04
1.60427240e+00 1.04171891e-02 1.07393810e-04
1.58838851e+00 1.04349819e-02 1.07393810e-04
1.57266190e+00 1.04459419e-02 1.07393810e-04
1.55709099e+00 1.04748041e-02 1.07393810e-04
1.54167424e+00 1.04896498e-02 1.07393810e-04
1.52641014e+00 1.05024568e-02 1.07393810e-04
1.51129717e+00 1.05077390e-02 1.07393810e-04
1.49633383e+00 1.05364081e-02 1.07393810e-04
1.48151865e+00 1.05379654e-02 1.07393810e-04
1.46685014e+00 1.05422067e-02 1.07393810e-04
1.45232688e+00 1.05592144e-02 1.07393810e-04
1.43794740e+00 1.05661377e-02 1.07393810e-04
1.42371030e+00 1.05730411e-02 1.07393810e-04
1.40961416e+00 1.05579238e-02 1.07393810e-04
1.39565758e+00 1.05511127e-02 1.07393810e-04
1.38183919e+00 1.05492380e-02 1.07393810e-04
1.36815761e+00 1.05660108e-02 1.07393810e-04
1.35461150e+00 1.05441940e-02 1.07393810e-04
1.34119950e+00 1.05398287e-02 1.07393810e-04
1.32792030e+00 1.04170609e-02 1.07393810e-04
1.31477257e+00 1.03747222e-02 1.07393810e-04
1.30175502e+00 1.03593532e-02 1.07393810e-04
1.28886636e+00 1.03478057e-02 1.07393810e-04
1.27610531e+00 1.03479599e-02 1.07393810e-04
1.26347060e+00 1.03426235e-02 1.07393810e-04
1.25096099e+00 1.03405769e-02 1.07393810e-04
1.23857524e+00 1.03570507e-02 1.07393810e-04
1.22631212e+00 1.03693571e-02 1.07393810e-04
1.21417041e+00 1.03792080e-02 1.07393810e-04
1.20214892e+00 1.03965651e-02 1.07393810e-04
1.19024646e+00 1.04105139e-02 1.07393810e-04
1.17846184e+00 1.04343350e-02 1.07393810e-04
1.16679390e+00 1.04357141e-02 1.07393810e-04
1.15524149e+00 1.04328286e-02 1.07393810e-04
1.14380345e+00 1.04215107e-02 1.07393810e-04
1.13247867e+00 1.04366434e-02 1.07393810e-04
1.12126601e+00 1.04135747e-02 1.07393810e-04
1.11016436e+00 1.04115703e-02 1.07393810e-04
1.09917264e+00 1.03816877e-02 1.07393810e-04
