# wavelength(micron) (Rp/Rs)^2 std((Rp/Rs)^2)
4.98786538e+00 1.11986700e-04 2.23548564e-06
4.93848057e+00 1.11707564e-04 2.23548564e-06
4.88958472e+00 1.11684022e-04 2.23548564e-06
4.84117299e+00 1.11494480e-04 2.23548564e-06
4.79324059e+00 1.11509886e-04 2.23548564e-06
4.74578276e+00 1.11348630e-04 2.23548564e-06
4.69879481e+00 1.11307659e-04 2.23548564e-06
4.65227209e+00 1.11369183e-04 2.23548564e-06
4.60620999e+00 1.10782991e-04 2.23548564e-06
4.56060395e+00 1.10579240e-04 2.23548564e-06
4.51544946e+00 1.10595832e-04 2.23548564e-06
4.47074204e+00 1.10681565e-04 2.23548564e-06
4.42647726e+00 1.10688987e-04 2.23548564e-06
4.38265076e+00 1.10817975e-04 2.23548564e-06
4.33925817e+00 1.10558765e-04 2.23548564e-06
4.29629522e+00 1.10805007e-04 2.23548564e-06
4.25375765e+00 1.10546117e-04 2.23548564e-06
4.21164123e+00 1.10467468e-04 2.23548564e-06
4.16994181e+00 1.10393737e-04 2.23548564e-06
4.12865526e+00 1.09846630e-04 2.23548564e-06
4.08777749e+00 1.09698431e-04 2.23548564e-06
4.04730444e+00 1.09198626e-04 2.23548564e-06
4.00723212e+00 1.08897728e-04 2.23548564e-06
3.96755656e+00 1.08729928e-04 2.23548564e-06
3.92827382e+00 1.08496808e-04 2.23548564e-06
3.88938002e+00 1.08480901e-04 2.23548564e-06
3.85087130e+00 1.08643242e-04 2.23548564e-06
3.81274387e+00 1.08771998e-04 2.23548564e-06
3.77499393e+00 1.08976679e-04 2.23548564e-06
3.73761775e+00 1.09099245e-04 2.23548564e-06
3.70061163e+00 1.09317856e-04 2.23548564e-06
3.66397191e+00 1.09711517e-04 2.23548564e-06
3.62769496e+00 1.09951252e-04 2.23548564e-06
3.59177719e+00 1.09908440e-04 2.23548564e-06
3.55621504e+00 1.10076661e-04 2.23548564e-06
3.52100499e+00 1.10345159e-04 2.23548564e-06
3.48614356e+00 1.10644804e-04 2.23548564e-06
